date_period,measure,cdid,value,unit,pre_unit
1938,Central government (S.1311): Net Lending (+) / Net borrowing (-) (B.9N): CP £m: NSA,NMFJ,,m,£
1938,Central government finance: official reserves: Asset Flow: CP NSA: £m,AIPA,,,
1938,Consumption of fixed capital for public corporations,NSRM,,,
1938,ESA95:DIM PC F.33211 accr adj,NCXS,,,
1938,ESA95:DIM: LA F.33211 accr adj,NCBV,,,
1938,"ESA: CG: LI: FLOW: F.33111, Sterling treasury bills",NAVG,,,
1938,FA: CG: Liabs: Flows: Government foreign currency debt,AACL,,,
1938,FA: CG: Liabs: Flows: Government liabilities under ECS,AACI,,,
1938,FA: CG: Liabs: Flows: National Savings,AACE,,M,£
1938,FA: CG: Liabs: Flows: Northern Ireland central govt debt,AACH,,,
1938,FA: CG: Liabs: Flows: Notes and coin: Coin,EYMW,,,
1938,FA: CG: Liabs: Flows: Other government overseas financing,AACM,,,
1938,FA: CG: Liabs: Flows: Tax instruments,AACF,,,
1938,FA: LA: Asset: Level: British government securities,APEI,,,
1938,Financial Level: GG Consolidated: British government securities: £m CP NSA,JM9V,,,
1938,Financial Level: GG Consolidated: Debt securities (excl gilts) and loans: £m CP NSA,JMB9,,,
1938,Financial Level: GG Consolidated: F2 Liabilities,GTK4,,,
1938,Financial Level: GG Consolidated: F3 Liabilities (excluding gilts),JJ7D,,,
1938,Financial Level: GG Consolidated: F4 Liabilities,GTK7,,,
1938,Financial Level: GG Consolidation: F29 LG Deposits with CG,GTI9,,,
1938,Financing of CGNCR: BGS,ANTA,,,
1938,Financing of CGNCR: Deposits with CG by other sectors,ANTC,,,
1938,Financing of CGNCR: Deposits with MFIs,ANSZ,,,
1938,Financing of CGNCR: Loans from MFIs,ANTB,,,
1938,Financing of CGNCR: NILO (except PWLB),ANTD,,,
1938,GG Local government gross debt: Bonds: £m CPNSA,NJIM,,m,£
1938,GG Other current taxes,MJBC,,,
1938,GG consolidated gross debt less LG/CG holdings,KSC7,,m,£
1938,GG: Accounts receivable/payable: £m CPNSA,ANSJ,,m,£
1938,GG: Adjustment for interest on gilts: £m CPNSA,ANSK,,m,£
1938,GG: CG deposits & short term assets: Bank and building society deposits:£m CPNSA,BKSM,,,
1938,GG: CG deposits and other short term assets: NRAM and B&B liquid assets:£m CPNSA,MDL5,,m,£
1938,GG: CG deposits and other short term assets: Other liquid assets: £m CPNSA,BKSN,,,
1938,GG: Capital grants (net) within public sector: £m CPNSA,ANSG,,m,£
1938,GG: Capital grants from private sector: £m CPNSA,ANSN,,m,£
1938,GG: Capital grants to private sector: £m CPNSA,ANSM,,m,£
1938,GG: Current budget deficit (-B8n+D91): £m CPNSA,ANLW,,m,£
1938,GG: Current exp: Interest & dividends paid to private sector and RoW: £m CPNSA,NMYX,,m,£
1938,GG: Current expenditure: Goods and services (P3): £m CPNSA,GZSN,,m,£
1938,GG: Current expenditure: Net social benefits (D62): £m CPNSA,GZSL,,m,£
1938,GG: Current expenditure: VAT & GNI based EU contributions (D76u): £m CPNSA,M9LE,,m,£
1938,GG: Current receipts: Rent and other current transfers: £m CPNSA,ANCU,,m,£
