date_period,measure,cdid,value,unit,source_dataset
1808.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1808.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",465.0,393,PublicFinances1800-2023
1808.0,Nominal GDP (£m)3,Nominal GDP (£m)3,446.0,355,PublicFinances1800-2023
1808.0,Other Central Government Receipts6,Residual,3.0,3,PublicFinances1800-2023
1808.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1808.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1808.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1808.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1808.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1808.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1808.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",10.0,21,PublicFinances1800-2023
1808.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,673.0,508,PublicFinances1800-2023
1808.0,Social Security7,,,-,PublicFinances1800-2023
1808.0,Stamp duties,GTBC,6.0,3,PublicFinances1800-2023
1808.0,Total Central Government spending1,ANLP + ANNS + NSRN,74.0,50,PublicFinances1800-2023
1808.0,Unit,Source dataset ID,1808.0,1800,PublicFinances1800-2023
1808.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1808.0,Years,Years,,1800-01,PublicFinances1800-2023
1808.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1808.0,o/w pensioners,,,-,PublicFinances1800-2023
1809.0,Business rates,CUKY,,-,PublicFinances1800-2023
1809.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1809.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1809.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1809.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1809.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,40.0,18,PublicFinances1800-2023
1809.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1809.0,Debt Interest9,NMFX,23.0,14,PublicFinances1800-2023
1809.0,Defence5,,46.0,32,PublicFinances1800-2023
1809.0,Education8,,,-,PublicFinances1800-2023
1809.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1809.0,Gas Levy3,,,-,PublicFinances1800-2023
1809.0,Health6,,,-,PublicFinances1800-2023
1809.0,Income tax1,LIBR-MS62,13.0,5,PublicFinances1800-2023
1809.0,"Index, base year = 100",MM23,14.0,13.5,PublicFinances1800-2023
1809.0,Land and Assessed Taxes,,8.0,5,PublicFinances1800-2023
1809.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1809.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1809.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
1809.0,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",510.0,393,PublicFinances1800-2023
1809.0,Nominal GDP (£m)3,Nominal GDP (£m)3,487.0,355,PublicFinances1800-2023
1809.0,Other Central Government Receipts6,Residual,3.0,3,PublicFinances1800-2023
1809.0,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023
1809.0,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023
1809.0,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023
1809.0,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023
1809.0,Petroleum royalties3,,,-,PublicFinances1800-2023
1809.0,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023
1809.0,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",11.0,21,PublicFinances1800-2023
1809.0,Public sector net debt (PSND)2,Public sector net debt (PSND)2,684.0,508,PublicFinances1800-2023
1809.0,Social Security7,,,-,PublicFinances1800-2023
1809.0,Stamp duties,GTBC,6.0,3,PublicFinances1800-2023
1809.0,Total Central Government spending1,ANLP + ANNS + NSRN,79.0,50,PublicFinances1800-2023
1809.0,Unit,Source dataset ID,1809.0,1800,PublicFinances1800-2023
1809.0,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023
1809.0,Years,Years,,1800-01,PublicFinances1800-2023
1809.0,o/w non-pensioners,,,-,PublicFinances1800-2023
1809.0,o/w pensioners,,,-,PublicFinances1800-2023
1810.0,Business rates,CUKY,,-,PublicFinances1800-2023
1810.0,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023
1810.0,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023
1810.0,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023
1810.0,Current spending3,JW2Q,,-,PublicFinances1800-2023
1810.0,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,41.0,18,PublicFinances1800-2023
1810.0,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023
1810.0,Debt Interest9,NMFX,24.0,14,PublicFinances1800-2023
1810.0,Defence5,,48.0,32,PublicFinances1800-2023
1810.0,Education8,,,-,PublicFinances1800-2023
1810.0,Energy profits levy,JIS6,,-,PublicFinances1800-2023
1810.0,Gas Levy3,,,-,PublicFinances1800-2023
1810.0,Health6,,,-,PublicFinances1800-2023
1810.0,Income tax1,LIBR-MS62,13.0,5,PublicFinances1800-2023
1810.0,"Index, base year = 100",MM23,14.4,13.5,PublicFinances1800-2023
1810.0,Land and Assessed Taxes,,8.0,5,PublicFinances1800-2023
1810.0,License fee receipts,DH7A,,-,PublicFinances1800-2023
1810.0,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023
1810.0,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023
