date_period,measure,cdid,value,unit,source_dataset,pre_unit,category,population,value_per_capita
1805,National Accounts Taxes,GCSU,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,National Insurance Contributions1,AIIH,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,"Nominal GDP (March-centred, £m)4","Nominal GDP (March-centred, £m)4",416.0,393,PublicFinances1800-2023,,Economic Indicators,,
1805,Nominal GDP (£m)3,Nominal GDP (£m)3,413.0,355,PublicFinances1800-2023,,Economic Indicators,,
1805,Other Central Government Receipts6,Residual,7.0,3,PublicFinances1800-2023,,PublicFinances - Other,,
1805,Other Public Sector Spending10 ,,,-,PublicFinances1800-2023,,Government Spending,,
1805,Other business taxes1,KIH3 + N43V,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Other public sector taxes and receipts8,Residual,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Petroleum Revenue tax (includes supplementary petroleum duty)3,ACCJ,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Petroleum royalties3,,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Public sector gross investment4,JW2Z + JW2S,,-,PublicFinances1800-2023,,PublicFinances - Other,,
1805,"Public sector net borrowing
(PSNB)1","Public sector net borrowing
(PSNB)1",16.0,21,PublicFinances1800-2023,,Fiscal Position,,
1805,Public sector net debt (PSND)2,Public sector net debt (PSND)2,629.0,508,PublicFinances1800-2023,,Fiscal Position,,
1805,Social Security7,,,-,PublicFinances1800-2023,,Government Spending,,
1805,Stamp duties,GTBC,5.0,3,PublicFinances1800-2023,,Tax Receipts,,
1805,Total Central Government spending1,ANLP + ANNS + NSRN,65.0,50,PublicFinances1800-2023,,Government Spending,,
1805,Unit,Source dataset ID,1805.0,1800,PublicFinances1800-2023,,PublicFinances - Other,,
1805,VAT (Purchase tax prior to 1973)4,NZGF,,-,PublicFinances1800-2023,,Tax Receipts,,
1805,Years,Years,,1800-01,PublicFinances1800-2023,,PublicFinances - Other,,
1805,o/w non-pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1805,o/w pensioners,,,-,PublicFinances1800-2023,,Government Spending,,
1806,Business rates,CUKY,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Capital Gains Tax1,MS62,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Corporation tax (profits taxes prior to 1966-67)2,CPRN,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Council Tax (community charge and domestic rates prior to 1993),NMHM,,-,PublicFinances1800-2023,,Tax Receipts,,
1806,Current spending3,JW2Q,,-,PublicFinances1800-2023,,Government Spending,,
1806,Custom and excise duties5,CUDG+GTAO+MF6V+ EKED+CDDZ+CWAA,36.0,18,PublicFinances1800-2023,,Tax Receipts,,
1806,Death duties/Inheritance tax,ACCH,,-,PublicFinances1800-2023,,Tax Receipts,,
