icd_version,icd_code,cause_description,l1_category_code,l1_category_name,first_year,last_year,years_active,total_deaths,avg_deaths_per_year,max_population,deaths_per_100k
ICD-10,I702,Atherosclerosis of renal artery,L1_01,Infectious and Communicable Diseases,2001,2017,17,328,19.294117647058822,4148985,0.46503223431896773
ICD-10,I708,"Other atherosclerosis of other type of bypass graft(s) of the extremities, unspecified extremity",L1_01,Infectious and Communicable Diseases,2001,2017,13,28,2.1538461538461537,4148985,0.05191260401872154
ICD-10,I709,Atherosclerosis of other arteries,L1_01,Infectious and Communicable Diseases,2001,2017,17,7378,434.0,4148985,10.460389709772391
ICD-10,I710,Chronic total occlusion of artery of the extremities,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,25652,1508.9411764705883,4148985,36.36892339862854
ICD-10,I711,Dissection of thoracoabdominal aorta,L1_01,Infectious and Communicable Diseases,2001,2017,17,8825,519.1176470588235,4148985,12.511919109344177
ICD-10,I712,"Thoracic aortic aneurysm, ruptured",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,1525,89.70588235294117,4148985,2.1621163333427615
ICD-10,I713,"Thoracic aortic aneurysm, without rupture",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,61481,3616.529411764706,4148985,87.1666060919648
ICD-10,I714,"Abdominal aortic aneurysm, ruptured",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,9955,585.5882352941177,4148985,14.11401186782111
ICD-10,I715,"Abdominal aortic aneurysm, without rupture",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,268,15.764705882352942,4148985,0.37996536218744925
ICD-10,I716,"Thoracoabdominal aortic aneurysm, ruptured",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,301,17.705882352941178,4148985,0.4267521418597844
ICD-10,I718,"Thoracoabdominal aortic aneurysm, without rupture",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,10423,613.1176470588235,4148985,14.777533470446954
ICD-10,I719,"Aortic aneurysm of unspecified site, ruptured",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,2365,139.11764705882354,4148985,3.353052543184021
ICD-10,I720,"Aortic aneurysm of unspecified site, without rupture",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,190,11.176470588235293,4148985,0.2693784284164752
ICD-10,I722,Aneurysm of artery of upper extremity,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,209,12.294117647058824,4148985,0.2963162712581227
ICD-10,I723,Aneurysm of renal artery,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,1777,104.52941176470588,4148985,2.5193971962951394
ICD-10,I724,Aneurysm of iliac artery,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,301,17.705882352941178,4148985,0.4267521418597844
ICD-10,I725,Aneurysm of artery of lower extremity,L1_05,Chronic Non-Communicable Diseases,2015,2017,2,2,1.0,4147050,0.02411352648268046
ICD-10,I726,Aneurysm of other precerebral arteries,L1_05,Chronic Non-Communicable Diseases,2014,2017,4,19,4.75,4147050,0.11453925079273218
ICD-10,I728,Aneurysm of vertebral artery,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,549,32.294117647058826,4148985,0.7783618800033942
ICD-10,I729,Aneurysm of other specified arteries,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,608,35.76470588235294,4148985,0.8620109709327206
ICD-10,I730,Aneurysm of unspecified site,L1_05,Chronic Non-Communicable Diseases,2001,2017,16,46,2.875,4148985,0.06929405625713277
ICD-10,I731,Raynaud's syndrome with gangrene,L1_01,Infectious and Communicable Diseases,2001,2017,11,19,1.7272727272727273,4148985,0.04163121166436435
ICD-10,I738,Thromboangiitis obliterans [Buerger's disease],L1_01,Infectious and Communicable Diseases,2001,2014,7,23,3.2857142857142856,4148985,0.07919320715100887
ICD-10,I739,Other specified peripheral vascular diseases,L1_01,Infectious and Communicable Diseases,2001,2017,17,38063,2239.0,4148985,53.965005899033144
ICD-10,I740,"Peripheral vascular disease, unspecified",L1_01,Infectious and Communicable Diseases,2001,2017,17,189,11.117647058823529,4148985,0.2679606472142832
ICD-10,I741,Other arterial embolism and thrombosis of abdominal aorta,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,598,35.1764705882353,4148985,0.8478331589108009
ICD-10,I742,Embolism and thrombosis of other parts of aorta,L1_05,Chronic Non-Communicable Diseases,2001,2017,16,53,3.3125,4148985,0.07983880394843558
ICD-10,I743,Embolism and thrombosis of arteries of the upper extremities,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,487,28.647058823529413,4148985,0.6904594454674918
ICD-10,I744,Embolism and thrombosis of arteries of the lower extremities,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,87,5.117647058823529,4148985,0.1233469645907018
ICD-10,I745,"Embolism and thrombosis of arteries of extremities, unspecified",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,110,6.470588235294118,4148985,0.15595593224111723
ICD-10,I748,Embolism and thrombosis of iliac artery,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,171,10.058823529411764,4148985,0.24244058557482767
ICD-10,I749,Embolism and thrombosis of other arteries,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,727,42.76470588235294,4148985,1.0307269339935656
ICD-10,I770,Septic arterial embolism,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,147,8.647058823529411,4148985,0.2084138367222203
ICD-10,I771,"Arteriovenous fistula, acquired",L1_01,Infectious and Communicable Diseases,2001,2017,17,220,12.941176470588236,4148985,0.31191186448223446
ICD-10,I772,Stricture of artery,L1_01,Infectious and Communicable Diseases,2001,2017,17,790,46.470588235294116,4148985,1.12004714973166
ICD-10,I773,Rupture of artery,L1_01,Infectious and Communicable Diseases,2002,2014,6,6,1.0,4148985,0.024102280437263573
ICD-10,I774,Arterial fibromuscular dysplasia,L1_01,Infectious and Communicable Diseases,2013,2016,2,2,1.0,4147050,0.02411352648268046
ICD-10,I775,Celiac artery compression syndrome,L1_01,Infectious and Communicable Diseases,2001,2012,3,3,1.0,4148985,0.024102280437263573
ICD-10,I776,Necrosis of artery,L1_01,Infectious and Communicable Diseases,2001,2017,17,1987,116.88235294117646,4148985,2.817131248755454
ICD-10,I778,Dissection of other specified artery,L1_01,Infectious and Communicable Diseases,2001,2017,17,259,15.235294117647058,4148985,0.3672053313677215
ICD-10,I779,Other specified disorders of arteries and arterioles,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,902,53.05882352941177,4148985,1.2788386443771613
ICD-10,I780,"Disorder of arteries and arterioles, unspecified",L1_01,Infectious and Communicable Diseases,2001,2017,17,93,5.470588235294118,4148985,0.13185365180385367
ICD-10,I781,Hereditary hemorrhagic telangiectasia,L1_03,Congenital and Developmental Conditions,2001,2017,13,35,2.6923076923076925,4148985,0.06489075502340193
ICD-10,I788,"Nevus, non-neoplastic",L1_01,Infectious and Communicable Diseases,2001,2016,5,7,1.4,4148985,0.033743192612168994
ICD-10,I801,"Phlebitis and thrombophlebitis of superficial vessels of lower extremities, bilateral",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,1192,70.11764705882354,4148985,1.689995193012834
ICD-10,I802,"Phlebitis and thrombophlebitis of femoral vein, bilateral",L1_05,Chronic Non-Communicable Diseases,2001,2017,17,52713,3100.764705882353,4148985,74.73550051114557
ICD-10,I803,Phlebitis and thrombophlebitis of other deep vessels of unspecified lower extremity,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,3100,182.35294117647058,4148985,4.3951217267951215
ICD-10,I808,"Phlebitis and thrombophlebitis of lower extremities, unspecified",L1_05,Chronic Non-Communicable Diseases,2001,2017,9,11,1.2222222222222223,4148985,0.02945834275665548
ICD-10,I809,Phlebitis and thrombophlebitis of other sites,L1_05,Chronic Non-Communicable Diseases,2001,2016,14,28,2.0,4148985,0.048204560874527146
ICD-10,I81,Phlebitis and thrombophlebitis of unspecified site,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,549,32.294117647058826,4148985,0.7783618800033942
ICD-10,I820,Portal vein thrombosis,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,222,13.058823529411764,4148985,0.3147474268866184
ICD-10,I821,Budd-Chiari syndrome,L1_01,Infectious and Communicable Diseases,2005,2005,1,1,1.0,4127882,0.024225498694003363
ICD-10,I822,Thrombophlebitis migrans,L1_01,Infectious and Communicable Diseases,2001,2017,16,111,6.9375,4148985,0.16720957053351604
ICD-10,I823,Chronic embolism and thrombosis of other thoracic veins,L1_05,Chronic Non-Communicable Diseases,2001,2017,11,20,1.8181818181818181,4148985,0.04382232806775195
ICD-10,I828,Chronic embolism and thrombosis of unspecified internal jugular vein,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,490,28.823529411764707,4148985,0.6947127890740677
ICD-10,I829,Chronic embolism and thrombosis of other specified veins,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,184,10.823529411764707,4148985,0.2608717412033234
ICD-10,I830,Chronic embolism and thrombosis of unspecified vein,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,550,32.35294117647059,4148985,0.7797796612055861
ICD-10,I831,Varicose veins of left lower extremity with ulcer of unspecified site,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,51,3.0,4148985,0.07230684131179071
ICD-10,I832,Varicose veins of left lower extremity with inflammation,L1_05,Chronic Non-Communicable Diseases,2001,2017,16,71,4.4375,4148985,0.1069538694403571
ICD-10,I839,Varicose veins of unspecified lower extremity with other complications,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,1364,80.23529411764706,4148985,1.9338535597898534
ICD-10,I841,Asymptomatic varicose veins of left lower extremity,L1_05,Chronic Non-Communicable Diseases,2001,2013,7,9,1.2857142857142858,4148985,0.03098864627648174
ICD-10,I842,Asymptomatic varicose veins of left lower extremity,L1_05,Chronic Non-Communicable Diseases,2004,2013,4,5,1.25,4148985,0.030127850546579463
ICD-10,I845,Asymptomatic varicose veins of left lower extremity,L1_05,Chronic Non-Communicable Diseases,2002,2002,1,1,1.0,4009201,0.02494262572517567
ICD-10,I847,Asymptomatic varicose veins of left lower extremity,L1_05,Chronic Non-Communicable Diseases,2003,2004,2,2,1.0,4101148,0.024383416545806197
ICD-10,I848,Asymptomatic varicose veins of left lower extremity,L1_05,Chronic Non-Communicable Diseases,2001,2013,12,30,2.5,4148985,0.06025570109315893
ICD-10,I849,Asymptomatic varicose veins of left lower extremity,L1_05,Chronic Non-Communicable Diseases,2001,2013,13,47,3.6153846153846154,4148985,0.0871390138885683
ICD-10,I850,Asymptomatic varicose veins of bilateral lower extremities,L1_05,Chronic Non-Communicable Diseases,2001,2017,17,580,34.11764705882353,4148985,0.8223130972713454
ICD-10,I859,Secondary esophageal varices without bleeding,L1_01,Infectious and Communicable Diseases,2001,2017,17,88,5.176470588235294,4148985,0.12476474579289379
ICD-10,I861,Sublingual varices,L1_01,Infectious and Communicable Diseases,2009,2009,1,1,1.0,4064144,0.024605427366746847
ICD-10,I862,Scrotal varices,L1_01,Infectious and Communicable Diseases,2007,2007,1,1,1.0,4148985,0.024102280437263573
ICD-10,I864,Vulval varices,L1_01,Infectious and Communicable Diseases,2001,2017,16,72,4.5,4148985,0.10846026196768607
ICD-10,I868,Gastric varices,L1_01,Infectious and Communicable Diseases,2002,2017,8,12,1.5,4148985,0.03615342065589536
ICD-10,I870,Varicose veins of other specified sites,L1_05,Chronic Non-Communicable Diseases,2004,2004,1,1,1.0,4101148,0.024383416545806197
ICD-10,I871,Postthrombotic syndrome with other complications of unspecified lower extremity,L1_01,Infectious and Communicable Diseases,2001,2017,17,45,2.6470588235294117,4148985,0.06380015409863887
ICD-10,I872,Compression of vein,L1_01,Infectious and Communicable Diseases,2001,2017,17,127,7.470588235294118,4148985,0.1800582126783808
ICD-10,I878,Chronic venous hypertension (idiopathic) with other complications of unspecified lower extremity,L1_05,Chronic Non-Communicable Diseases,2001,2015,15,165,11.0,4148985,0.2651250848098993
ICD-10,I879,Other specified disorders of veins,L1_05,Chronic Non-Communicable Diseases,2001,2017,15,31,2.066666666666667,4148985,0.04981137957034472
ICD-10,I880,"Disorder of vein, unspecified",L1_01,Infectious and Communicable Diseases,2003,2008,3,3,1.0,4148985,0.024102280437263573
ICD-10,I889,Other nonspecific lymphadenitis,L1_01,Infectious and Communicable Diseases,2001,2016,4,5,1.25,4148985,0.030127850546579463
ICD-10,I890,"Nonspecific lymphadenitis, unspecified",L1_01,Infectious and Communicable Diseases,2001,2017,17,310,18.235294117647058,4148985,0.43951217267951215
ICD-10,I891,"Lymphedema, not elsewhere classified",L1_01,Infectious and Communicable Diseases,2001,2017,17,107,6.294117647058823,4148985,0.1517025886345413
ICD-10,I898,Lymphangitis,L1_01,Infectious and Communicable Diseases,2001,2017,17,34,2.0,4148985,0.048204560874527146
ICD-10,I899,Other specified noninfective disorders of lymphatic vessels and lymph nodes,L1_05,Chronic Non-Communicable Diseases,2001,2014,10,13,1.3,4148985,0.031332964568442645
ICD-10,I951,Idiopathic hypotension,L1_01,Infectious and Communicable Diseases,2001,2017,17,77,4.529411764705882,4148985,0.10916915256878205
ICD-10,I952,Orthostatic hypotension,L1_01,Infectious and Communicable Diseases,2004,2014,2,2,1.0,4148985,0.024102280437263573
ICD-10,I958,Hypotension of hemodialysis,L1_01,Infectious and Communicable Diseases,2009,2017,4,4,1.0,4147050,0.02411352648268046
ICD-10,I959,Other hypotension,L1_01,Infectious and Communicable Diseases,2001,2015,11,19,1.7272727272727273,4148985,0.04163121166436435
ICD-10,I99,"Other intraoperative complications of the circulatory system, not elsewhere classified",L1_01,Infectious and Communicable Diseases,2001,2017,17,247,14.529411764705882,4148985,0.35019195694141775
ICD-10,J00,Unspecified disorder of circulatory system,L1_01,Infectious and Communicable Diseases,2001,2016,4,4,1.0,4148985,0.024102280437263573
