year,age_group,sex,population
1939,15-24,Female,3301300
1939,25-34,Female,3528400
1939,35-44,Female,3200300
1939,45-54,Female,2788000
1939,55-64,Female,2297000
1939,65-74,Female,1477100
1939,75-84,Female,381100
1939,85+,Female,275500
1939,0-4,Male,1460100
1939,5-14,Male,2956000
1939,15-24,Male,3154800
1939,25-34,Male,3329400
1939,35-44,Male,2859100
1939,45-54,Male,2367300
1939,55-64,Male,1962600
1939,65-74,Male,1194400
1939,75-84,Male,255100
1939,85+,Male,148700
1940,0-4,Female,1412000
1940,5-14,Female,2868000
1940,15-24,Female,3278000
1940,25-34,Female,3535000
1940,35-44,Female,3242000
1940,45-54,Female,2811000
1940,55-64,Female,2329000
1940,65-74,Female,1500000
1940,75-84,Female,584000
1940,85+,Female,87000
1940,0-4,Male,1469000
1940,5-14,Male,2923000
1940,15-24,Male,2351000
1940,25-34,Male,2781000
1940,35-44,Male,2785000
1940,45-54,Male,2340000
1940,55-64,Male,1974000
1940,65-74,Male,1211000
1940,75-84,Male,369000
1940,85+,Male,40000
1941,0-4,Female,1393000
1941,5-14,Female,2819000
1941,15-24,Female,3191000
1941,25-34,Female,3464000
1941,35-44,Female,3258000
1941,45-54,Female,2824000
1941,55-64,Female,2354000
1941,65-74,Female,1523000
1941,75-84,Female,600000
1941,85+,Female,89000
1941,0-4,Male,1449000
1941,5-14,Male,2881000
1941,15-24,Male,2024000
1941,25-34,Male,2120000
1941,35-44,Male,2764000
1941,45-54,Male,2363000
1941,55-64,Male,1976000
1941,65-74,Male,1228000
1941,75-84,Male,381000
1941,85+,Male,42000
1942,0-4,Female,1400000
1942,5-14,Female,2801000
1942,15-24,Female,3048000
1942,25-34,Female,3380000
1942,35-44,Female,3294000
1942,45-54,Female,2848000
1942,55-64,Female,2386000
1942,65-74,Female,1565000
1942,75-84,Female,624000
1942,85+,Female,95000
1942,0-4,Male,1460000
1942,5-14,Male,2865000
1942,15-24,Male,1892000
1942,25-34,Male,1881000
1942,35-44,Male,2651000
1942,45-54,Male,2364000
1942,55-64,Male,1988000
1942,65-74,Male,1258000
1942,75-84,Male,398000
1942,85+,Male,45000
1943,0-4,Female,1430000
1943,5-14,Female,2795000
1943,15-24,Female,2988000
1943,25-34,Female,3278000
1943,35-44,Female,3331000
1943,45-54,Female,2876000
1943,55-64,Female,2416000
1943,65-74,Female,1612000
1943,75-84,Female,653000
1943,85+,Female,105000
1943,0-4,Male,1491000
1943,5-14,Male,2867000
1943,15-24,Male,1686000
1943,25-34,Male,1611000
1943,35-44,Male,2570000
1943,45-54,Male,2357000
1943,55-64,Male,1991000
1943,65-74,Male,1289000
1943,75-84,Male,421000
1943,85+,Male,51000
1944,0-4,Female,1476000
1944,5-14,Female,2788000
1944,15-24,Female,3019000
1944,25-34,Female,3170000
1944,35-44,Female,3366000
1944,45-54,Female,2902000
1944,55-64,Female,2438000
1944,65-74,Female,1649000
1944,75-84,Female,675000
1944,85+,Female,114000
1944,0-4,Male,1542000
1944,5-14,Male,2865000
1944,15-24,Male,1670000
1944,25-34,Male,1414000
1944,35-44,Male,2531000
1944,45-54,Male,2368000
1944,55-64,Male,1993000
1944,65-74,Male,1309000
1944,75-84,Male,440000
1944,85+,Male,56000
1945,0-4,Female,1527000
1945,5-14,Female,2772000
1945,15-24,Female,2926000
1945,25-34,Female,3195000
1945,35-44,Female,3392000
1945,45-54,Female,2930000
1945,55-64,Female,2461000
1945,65-74,Female,1692000
1945,75-84,Female,700000
1945,85+,Female,121000
1945,0-4,Male,1600000
1945,5-14,Male,2856000
1945,15-24,Male,1623000
1945,25-34,Male,1392000
1945,35-44,Male,2458000
1945,45-54,Male,2417000
1945,55-64,Male,2008000
1945,65-74,Male,1328000
1945,75-84,Male,459000
1945,85+,Male,59000
1946,0-4,Female,1592000
1946,5-14,Female,2723000
1946,15-24,Female,3022000
1946,25-34,Female,3305000
1946,35-44,Female,3403000
1946,45-54,Female,2947000
1946,55-64,Female,2427000
1946,65-74,Female,1719000
1946,75-84,Female,718000
1946,85+,Female,123000
1946,0-4,Male,1671000
1946,5-14,Male,2806000
1946,15-24,Male,1946000
1946,25-34,Male,2672000
1946,35-44,Male,3142000
1946,45-54,Male,2502000
1946,55-64,Male,1992000
1946,65-74,Male,1349000
1946,75-84,Male,478000
1946,85+,Male,58000
1947,0-4,Female,1716000
1947,5-14,Female,2746000
1947,15-24,Female,2955000
1947,25-34,Female,3311000
1947,35-44,Female,3410000
