cause,icd_version,cause_description,level1_code,level1_name
129.0,ICD-2 (1911-1920),,,
13.0,ICD-2 (1911-1920),,,
130A,ICD-2 (1911-1920),Disorders of menstruation (not menorrhagia),,
130B,ICD-2 (1911-1920),Other diseases of uterus,,
131.0,ICD-2 (1911-1920),,,
132A,ICD-2 (1911-1920),Diseases of ovary (ex.ovarian tumour),,
132B,ICD-2 (1911-1920),Other diseases of female genital organs,,
133.0,ICD-2 (1911-1920),,,
134A,ICD-2 (1911-1920),Abortion,,
134B,ICD-2 (1911-1920),Haemorrhage of pregnancy,,
134C,ICD-2 (1911-1920),Uncontrollable vomitting,,
134D,ICD-2 (1911-1920),Ectopic gestation,,
134E,ICD-2 (1911-1920),Other accidents of pregnancy,,
135.0,ICD-2 (1911-1920),,,
136.0,ICD-2 (1911-1920),,,
137.0,ICD-2 (1911-1920),,,
138A,ICD-2 (1911-1920),Puerperal nephritis and uraemia,,
138B,ICD-2 (1911-1920),Puerperal albuminuria & Bright's disease,,
138C,ICD-2 (1911-1920),Puerperal convulsions,,
139A,ICD-2 (1911-1920),Puerperal phlegmasia alba dolens & phlebitis,,
139B,ICD-2 (1911-1920),Puerperal embolism & sudden death,,
14.0,ICD-2 (1911-1920),,,
140.0,ICD-2 (1911-1920),,,
141.0,ICD-2 (1911-1920),,,
142A,ICD-2 (1911-1920),Senile gangrene,,
142B,ICD-2 (1911-1920),"Noma, Gangrene of mouth",,
142C,ICD-2 (1911-1920),Noma pudendi,,
142D,ICD-2 (1911-1920),Other gangrene,,
143.0,ICD-2 (1911-1920),,,
144A,ICD-2 (1911-1920),Phlegmon,,
144B,ICD-2 (1911-1920),Acute abscess,,
145A,ICD-2 (1911-1920),"Ulcer, bedsore",,
145B,ICD-2 (1911-1920),Eczema,,
145C,ICD-2 (1911-1920),Pemphigus,,
145D,ICD-2 (1911-1920),Other diseases of integumentary system,,
146.0,ICD-2 (1911-1920),,,
147.0,ICD-2 (1911-1920),,,
148.0,ICD-2 (1911-1920),,,
149.0,ICD-2 (1911-1920),,,
15.0,ICD-2 (1911-1920),,,
150A,ICD-2 (1911-1920),Congenital hydrocephalus,,
150B,ICD-2 (1911-1920),Phimosis,,
150C,ICD-2 (1911-1920),Congenital malformation of heart,,
150D,ICD-2 (1911-1920),Other congenital malformations,,
151A,ICD-2 (1911-1920),Premature birth,,
151B,ICD-2 (1911-1920),"Infantile atrophy, debility and marasmus",,
151C,ICD-2 (1911-1920),Icterus neonatorum,,
151D,ICD-2 (1911-1920),Sclerema and oedema neonatorum,,
151E,ICD-2 (1911-1920),Want of breast milk,,
152A,ICD-2 (1911-1920),"Diseases of umbilicus, etc.",,
152B,ICD-2 (1911-1920),Atelectasis,,
152C,ICD-2 (1911-1920),Injuries at birth,,
152D,ICD-2 (1911-1920),Cyanosis neonatorum,,
153.0,ICD-2 (1911-1920),,,
154A,ICD-2 (1911-1920),Senile dementia,,
154B,ICD-2 (1911-1920),Senile decay,,
155.0,ICD-2 (1911-1920),,,
156.0,ICD-2 (1911-1920),,,
157.0,ICD-2 (1911-1920),,,
158.0,ICD-2 (1911-1920),,,
159.0,ICD-2 (1911-1920),,,
16.0,ICD-2 (1911-1920),,,
160.0,ICD-2 (1911-1920),,,
161.0,ICD-2 (1911-1920),,,
162.0,ICD-2 (1911-1920),,,
163.0,ICD-2 (1911-1920),,,
164.0,ICD-2 (1911-1920),,,
165.0,ICD-2 (1911-1920),,,
166.0,ICD-2 (1911-1920),,,
167.0,ICD-2 (1911-1920),,,
168.0,ICD-2 (1911-1920),,,
169.0,ICD-2 (1911-1920),,,
17.0,ICD-2 (1911-1920),,,
170.0,ICD-2 (1911-1920),,,
171.0,ICD-2 (1911-1920),,,
172.0,ICD-2 (1911-1920),,,
173.0,ICD-2 (1911-1920),,,
174.0,ICD-2 (1911-1920),,,
175.0,ICD-2 (1911-1920),,,
176.0,ICD-2 (1911-1920),,,
177.0,ICD-2 (1911-1920),,,
178.0,ICD-2 (1911-1920),,,
179.0,ICD-2 (1911-1920),,,
18.0,ICD-2 (1911-1920),,,
180.0,ICD-2 (1911-1920),,,
181.0,ICD-2 (1911-1920),,,
182.0,ICD-2 (1911-1920),,,
183.0,ICD-2 (1911-1920),,,
184.0,ICD-2 (1911-1920),,,
185.0,ICD-2 (1911-1920),,,
186.0,ICD-2 (1911-1920),,,
187.0,ICD-2 (1911-1920),,,
188A,ICD-2 (1911-1920),Syncope (>1 & <70),,
188B,ICD-2 (1911-1920),Sudden death (not otherwise def.),,
189A,ICD-2 (1911-1920),Heart failure (>1 & <70),,
189B,ICD-2 (1911-1920),"Atrophy, debility, marasmus (>1 & <70)",,
